AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,,,,Minneci F.(6505749958),,,,,
,,,,Hieta R.(6507612720),,,,,
,,,,Bryson K.(6602189748),,,,,
,,,,Foulger R.E.(6602253196),,,,,
,,,,Törönen P.(6602343880),,,,,
,,,,Vencio R.Z.N.(6602360882),,,,,
,,,,Radivojac P.(6602502392),,,,,
,,,,Salakoski T.(6602620645),,,,,
,,,,Toppo S.(6602694397),,,,,
,,,,Vucetic S.(6603260730),,,,,
,,,,Paccanaro A.(6603331210),,,,,
,,,,Kihara D.(6603379369),,,,,
,,,,Tress M.L.(6603493350),,,,,
,,,,Magrane M.(6603907941),,,,,
,,,,Friedberg I.(7003385962),,,,,
,,,,Mesiti M.(7003431065),,,,,
,,,,Babbitt P.C.(7003654933),,,,,
,,,,Salamov A.(7003657563),,,,,
,,,,Lovering R.C.(7003921726),,,,,
,,,,Di Carlo S.(7004079458),,,,,
,,,,Pavlidis P.(7004159655),,,,,
,,,,Casadio R.(7004943169),,,,,
,,,,Shasha D.(7005430203),,,,,
,,,,Glisic S.(7005776793),,,,,
,,,,Benso A.(7006074596),,,,,
,,,,Moreau Y.(7006734235),,,,,
,,,,Orengo C.A.(7006781333),,,,,
,,,,Bonneau R.(7006793027),,,,,
,,,,Tramontano A.(7007026198),,,,,
,,,,Sternberg M.J.E.(7101911184),,,,,
,,,,Gough J.(7101953576),,,,,
,,,,Valentini G.(7102930200),,,,,
,,,,Linial M.(7103138031),,,,,
,,,,Holm L.(7103303388),,,,,
,,,,Brenner S.E.(7201660226),,,,,
,,,,Romero A.E.(7202648296),,,,,
,,,,Robinson P.N.(7403719646),,,,,
,,,,Cozzetto D.(7801377172),,,,,
,,,,Ginter F.(8537001100),,,,,
,,,,Veljkovic N.(8737352200),,,,,
,,,,Richter L.(8907579600),,,,,
,,,,Tosatto S.C.E.(9242408800),,,,,
,,,,Greene C.S.(12141512300),,,,,
,,,,Verspoor K.M.(12772581800),,,,,
,,,,Tranchevent L.C.(13409648000),,,,,
,,,,Falda M.(14015711300),,,,,
,,,,Melidoni A.N.(14016249900),,,,,
,,,,Clark W.T.(14024010800),,,,,
,,,,Perovic V.(14054540500),,,,,
,,,,Vogel J.(15074184800),,,,,
,,,,Cibrian-Uhalte E.(15829204400),,,,,
,,,,Chen C.T.(15830876600),,,,,
,,,,Yang H.(16240261600),,,,,
,,,,Sahraeian S.M.E.(18042359100),,,,,
,,,,Wass M.N.(20435115000),,,,,
,,,,Skunca N.(22954569700),,,,,
,,,,Supek F.(23398274700),,,,,
,,,,Rehman H.U.(23486583600),,,,,
,,,,Fontana P.(23488698900),,,,,
,,,,Pichler K.(23995781900),,,,,
,,,,Sasidharan R.(24342589600),,,,,
,,,,Lavezzo E.(24465431800),,,,,
,,,,Penfold-Brown D.(24759003600),,,,,
,,,,Savino A.(24779751700),,,,,
,,,,Legge D.(25932196500),,,,,
,,,,Hsu W.L.(26324042000),,,,,
,,,,Politano G.(26655038700),,,,,
,,,,Marcet-Houben M.(27267797400),,,,,
,,,,Gabaldon T.(35229109400),,,,,
,,,,Re M.(35305844500),,,,,
,,,,Shypitsyna A.(35340033100),,,,,
,,,,Martelli P.L.(35473089200),,,,,
,,,,Huntley R.P.(35484022400),,,,,
,,,,Gillis J.(35578536500),,,,,
,,,,Khan I.K.(35753678300),,,,,
,,,,van Dijk A.D.J.(35884422400),,,,,
,,,,Zakeri P.(36616107500),,,,,
,,,,Rappoport N.(36673704500),,,,,
,,,,Hamp T.(36782041400),,,,,
,,,,D'Andrea D.(36869372200),,,,,
,,,,Koskinen P.(36994470500),,,,,
,,,,Giollo M.(39361244000),,,,,
,,,,Kahanda I.(53877589300),,,,,
,,,,Gemovic B.(54585149100),,,,,
,,,,Lepore R.(54779981300),,,,,
,,,,Maietta P.(54789832600),,,,,
,,,,Piovesan D.(54790039200),,,,,
,,,,Zhou Y.(55139265500),,,,,
,,,,Kaewphan S.(55191284200),,,,,
,,,,Bargsten J.W.(55246156700),,,,,
,,,,Youngs N.(55246424700),,,,,
,,,,Stern A.(55250577800),,,,,
,,,,Hakala K.(55307771500),,,,,
,,,,Bhat P.(55328808700),,,,,
,,,,Gong Q.(55565602600),,,,,
,,,,Cao R.(55619927900),,,,,
,,,,Profiti G.(55624662800),,,,,
,,,,Dawson N.L.(55638031200),,,,,
,,,,Oates M.(55659711100),,,,,
,,,,Ben-Hur A.(55666578900),,,,,
,,,,Fang H.(55758373100),,,,,
,,,,Cejuela J.M.(55773547300),,,,,
,,,,Ofer D.(55815998500),,,,,
,,,,Koo D.C.E.(55920300400),,,,,
,,,,Das S.(55991242500),,,,,
,,,,Kansakar L.(56066631900),,,,,
,,,,Mutowo-Meullenet P.(56163414100),,,,,
,,,,Veljkovic V.(56219201300),,,,,
,,,,Jiang Y.(56355171900),,,,,
,,,,Sharan M.(56368217600),,,,,
,,,,Smithers B.(56368610500),,,,,
,,,,Sedeño-Cortés A.E.(56440205000),,,,,
,,,,Funk C.S.(56504015900),,,,,
,,,,Almeida-e-Silva D.C.(56543815400),,,,,
,,,,Ferrari C.(56563564100),,,,,
,,,,Oron T.R.(56694932300),,,,,
,,,,Bankapur A.R.(56716398700),,,,,
,,,,Ning W.(56800123300),,,,,
,,,,Tian W.(56937642800),,,,,
,,,,Lee D.(56939378100),,,,,
,,,,Dogan T.(56940345200),,,,,
,,,,Martin M.J.(57035737800),,,,,
,,,,ElShal S.(57188703480),,,,,
,,,,Fernández J.M.(57190010914),,,,,
,,,,Chapman S.(57190372468),,,,,
,,,,Zhang S.(57191054316),,,,,
,,,,Mehryary F.(57191054318),,,,,
,,,,Bkc D.(57191054975),,,,,
,,,,Lin A.(57191055822),,,,,
,,,,Zhong Z.(57191056999),,,,,
,,,,Li B.(57191058501),,,,,
,,,,Wang Z.(57201049793),,,,,
,,,,Denny P.(57201840868),,,,,
,,,,del Pozo A.(57202568285),,,,,
,,,,Cheng J.(57203108630),,,,,
,,,,Jones D.T.(57203189821),,,,,
,,,,Nepusz T.(57203644590),,,,,
,,,,O'Donovan C.(57204338202),,,,,
,,,,Mooney S.D.(57207721730),,,,,
,,,,Feng S.(57220938829),,,,,
,,,,Martini A.(7202003953),,,,,
,,,,Ottaviano G.(8255469500),,,,,
,,,,Scarpa B.(12752860000),,,,,
,,,,Nardello E.(55750673200),,,,,
,,,,Maculan P.(57203147249),,,,,
,,,,Pendolino A.L.(57208940637),,,,,
,,,,Stanciulescu B.(7801353541),,,,,
,,,,Hernández M.(8616779200),,,,,
,,,,Szolna A.(14032568700),,,,,
,,,,Salvador R.(23005852100),,,,,
,,,,Morera J.(35466252100),,,,,
,,,,Sarmiento R.(35609452100),,,,,
,,,,Juárez E.(36447485600),,,,,
,,,,Bulstrode H.(48861007100),,,,,
,,,,Kiran B.R.(55347916400),,,,,
,,,,Callicó G.M.(56006321500),,,,,
,,,,Vega A.(56405149600),,,,,
,,,,Fabelo H.(56405568500),,,,,
,,,,Piñeiro J.F.(57189323824),,,,,
,,,,Ortega S.(57189334144),,,,,
,,,,Madroñal D.(57192829417),,,,,
,,,,Lazcano R.(57192839213),,,,,
,,,,Sosa C.(57200524989),,,,,
,,,,Báez-Quevedo A.(57200527135),,,,,
,,,,Bisshopp S.(57200531623),,,,,
,,,,O’Shanahan A.J.(57200532309),,,,,
,,,,Ravi D.(57201696886),,,,,
,,,,Appleby P.N.(7006332366),,,,,
,,,,Aasheim E.T.(15759315200),,,,,
,,,,Lentjes M.A.H.(35261917400),,,,,
,,,,Vilalta R.(6701800953),,,,,
,,,,Fabrega J.M.(7003804280),,,,,
,,,,Takahara T.(7006032417),,,,,
,,,,Freund R.(7101629479),,,,,
,,,,Nishihara M.(7102310189),,,,,
,,,,Schlosser M.(7102743092),,,,,
,,,,Rasmussen J.C.(7402620397),,,,,
,,,,Munoz R.(14032184500),,,,,
,,,,Casellas R.(24342919100),,,,,
,,,,Nadal L.(35111716100),,,,,
,,,,Kottke C.(35190546900),,,,,
,,,,Kitayama K.(35425650000),,,,,
,,,,Yoshida Y.(36996831700),,,,,
,,,,Vilchez F.J.(55372795600),,,,,
,,,,Moreolo M.S.(55664924900),,,,,
,,,,Tanaka T.(55727236300),,,,,
,,,,Martinez R.(55926814100),,,,,
,,,,Mayoral A.(55960851400),,,,,
,,,,Yan S.(56926913200),,,,,
,,,,Meng F.(57216153491),,,,,
,,,,Arinyo-I-Prats A.(56392883500),,,,,
,,,,Pople R.(6507315307),,,,,
,,,,Willis S.(7103267539),,,,,
,,,,Stephens P.(7202671420),,,,,
,,,,Howard C.(7202774797),,,,,
,,,,Gregory R.(7402332144),,,,,
,,,,Burfield I.(10038811700),,,,,
,,,,Donald P.(12243573400),,,,,
,,,,Sanderson F.(14024720200),,,,,
,,,,Beresford A.(25958889400),,,,,
,,,,Ieronymidou C.(54973787700),,,,,
,,,,Maleev V.P.(6603791305),,,,,
,,,,Tikhomirov V.O.(7003575824),,,,,
,,,,Wolf T.M.H.(7004488367),,,,,
,,,,Kentaro K.(7004658117),,,,,
,,,,Zimine N.I.(18435639400),,,,,
,,,,Menke S.(22135551900),,,,,
,,,,Passaggio S.(22976408800),,,,,
,,,,Simon M.(35227969400),,,,,
,,,,Schwemling P.(35227983100),,,,,
,,,,Robson A.(35278420800),,,,,
,,,,Prince S.(35278873900),,,,,
,,,,Maxfield S.J.(36625965500),,,,,
,,,,Sosa D.(37056465300),,,,,
,,,,Stradling A.R.(56235417100),,,,,
,,,,Werner M.(56435335200),,,,,
,,,,Hanisch S.(57190985080),,,,,
,,,,Ucchielli G.(57192397396),,,,,
,,,,Deliyergiyev M.(57202559852),,,,,
,,,,Pilcher J.E.(57202569311),,,,,
,,,,Tikhonov Y.A.(57202569632),,,,,
,,,,Mamuzic J.(57221667094),,,,,
,,,,Kessel A.S.(7007085407),,,,,
,,,,Taylor B.(7403036316),,,,,
,,,,Skow Á.(8506327400),,,,,
,,,,Puradiredja D.I.(10043555200),,,,,
,,,,Park M.H.(44061693000),,,,,
,,,,Lucas A.(56725054800),,,,,
,,,,Saxena S.(57203151746),,,,,
,,,,Bosman M.(7007004212),,,,,
,,,,Montesi L.(56500320100),,,,,
,,,,Munde M.(56500426600),,,,,
,,,,Crinion J.(6506379866),,,,,
,,,,Seghier M.L.(6602537740),,,,,
,,,,Grogan A.(35183124200),,,,,
,,,,Ruffle L.(42161840200),,,,,
,,,,Jones O.P.(55146411400),,,,,
,,,,Hope T.M.H.(55650055400),,,,,
,,,,Rae J.(56609861200),,,,,
,,,,Green D.W.(57193517158),,,,,
,,,,Tan W.P.(55308783700),,,,,
,,,,Khetrapal P.(56939014200),,,,,
,,,,Chau M.(57203523312),,,,,
,,,,van der Meulen J.H.(7102799145),,,,,
,,,,Gurol-Urganci I.(15834690800),,,,,
,,,,Harron K.(55249873300),,,,,
,,,,Knight H.E.(55702967800),,,,,
,,,,Kockum I.(7003874276),,,,,
,,,,Hillert J.(7004645696),,,,,
,,,,Wszolek Z.(7005313394),,,,,
,,,,Myhr K.(7005382096),,,,,
,,,,Glaser A.(8064561900),,,,,
,,,,Karrenbauer V.(8659004400),,,,,
,,,,Haugarvoll K.(13611578000),,,,,
,,,,Andersen O.(26321426800),,,,,
,,,,Gustavsen M.(28767613700),,,,,
,,,,Baker M.(35372403500),,,,,
,,,,Sundal C.(35811142100),,,,,
,,,,Harbo H.(55666344500),,,,,
,,,,Bedri S.(56471800600),,,,,
,,,,Power E.(23978643600),,,,,
,,,,Hayward R.A.(7202719760),,,,,
,,,,Millett C.(8610765600),,,,,
,,,,Basu S.(9335409500),,,,,
,,,,Sussman J.B.(36090456400),,,,,
,,,,Suárez-Quintanilla D.(6603427315),,,,,
,,,,Tomás I.(7005882178),,,,,
,,,,Quintas V.(56024974200),,,,,
,,,,Prada-López I.(56028506500),,,,,
,,,,Burch V.(6507002035),,,,,
,,,,Gillberg C.(7101634220),,,,,
,,,,Das K.B.(7402223872),,,,,
,,,,Atkinson P.(23968672700),,,,,
,,,,Reilly C.(26634364600),,,,,
,,,,Kilburn C.(7003756478),,,,,
,,,,Martí J.(7202923564),,,,,
,,,,López C.(25628074900),,,,,
,,,,Sobradelo R.(25628765600),,,,,
,,,,Lukic A.(7004611638),,,,,
,,,,Lloyd S.E.(7202190849),,,,,
,,,,Campbell T.(7202584325),,,,,
,,,,Whitfield J.(7202656338),,,,,
,,,,Ponto C.(55614991700),,,,,
,,,,Brown C.A.(56525726000),,,,,
,,,,Beck J.(57216285289),,,,,
,,,,Mallett S.V.(7004053133),,,,,
,,,,Rahman S.(56623867600),,,,,
,,,,Tillin T.(8878251700),,,,,
,,,,Eastwood S.V.(57205524308),,,,,
,,,,Ball S.J.(7202536805),,,,,
,,,,Magdalinou N.(55347741900),,,,,
,,,,Zamba-Papanicolaou E.(6506279307),,,,,
,,,,Fruscione F.(6506430989),,,,,
,,,,Avdjieva D.(6507172855),,,,,
,,,,Chimenz R.(6507763943),,,,,
,,,,Ruivenkamp C.(6507826533),,,,,
,,,,El-Khorassani M.(6507980752),,,,,
,,,,Raspall-Chaure M.(6508069956),,,,,
,,,,Tincheva R.(6508200203),,,,,
,,,,Borgione E.(6508235709),,,,,
,,,,Procaccio V.(6602377926),,,,,
,,,,Kinali M.(6602533504),,,,,
,,,,Pérez-Dueñas B.(6602545967),,,,,
,,,,Munell F.(6603020259),,,,,
,,,,Gustincich S.(6603355033),,,,,
,,,,Madia F.(6603363716),,,,,
,,,,Turki I.B.Y.(6603365005),,,,,
,,,,Specchio N.(6603496267),,,,,
,,,,Burglen L.(6603682723),,,,,
,,,,Pedemonte M.(6603727911),,,,,
,,,,Shinawi M.(6603766200),,,,,
,,,,Triki C.C.(6603954394),,,,,
,,,,Traverso M.(6701451898),,,,,
,,,,Scuderi C.(6701613411),,,,,
,,,,Striano P.(6701766775),,,,,
,,,,Capra V.(7003313807),,,,,
,,,,Constantino J.N.(7003357598),,,,,
,,,,Zara F.(7003427230),,,,,
,,,,Van Den Maagdenberg A.M.J.(7003477455),,,,,
,,,,Stojkovic T.(7003682797),,,,,
,,,,Bar-Yosef O.(7003684691),,,,,
,,,,Gagliano A.(7003725652),,,,,
,,,,Heron D.(7003870292),,,,,
,,,,Veggiotti P.(7003881443),,,,,
,,,,Coviello D.A.(7003921883),,,,,
,,,,Macaya A.(7004176148),,,,,
,,,,Zollo M.(7004191870),,,,,
,,,,Ramenghi L.A.(7004261136),,,,,
,,,,Cama A.(7004822243),,,,,
,,,,Capovilla G.(7004928059),,,,,
,,,,Zuccotti G.V.(7005167155),,,,,
,,,,Goraya J.S.(7005548358),,,,,
,,,,Diana M.C.(7005750515),,,,,
,,,,Broda P.(7005950837),,,,,
,,,,Minetti C.(7006089242),,,,,
,,,,Nobili L.(7006123448),,,,,
,,,,Boles R.(7006344181),,,,,
,,,,Kabra M.(7006499218),,,,,
,,,,De-Marco P.(7006718554),,,,,
,,,,Ferrero G.B.(7006977811),,,,,
,,,,Xia K.(7101891308),,,,,
,,,,Kok F.(7102969701),,,,,
,,,,Zaki M.S.(7202243700),,,,,
,,,,Tsai A.(7202581354),,,,,
,,,,Spanaki C.(7801371332),,,,,
,,,,Tazir M.(8099803500),,,,,
,,,,Aguennouz M.(8249795400),,,,,
,,,,Nardello R.(8666076100),,,,,
,,,,Soler M.A.(8718855800),,,,,
,,,,Komolafe M.(11939648100),,,,,
,,,,Salayev K.(12794556900),,,,,
,,,,De Zorzi R.(12794786600),,,,,
,,,,Parellada M.(14040702000),,,,,
,,,,Lim S.Y.(14046922800),,,,,
,,,,Malintan N.T.(14123546900),,,,,
,,,,Sultan T.(14424419100),,,,,
,,,,Benzeev B.(15031131300),,,,,
,,,,Gavrilova R.H.(15044220600),,,,,
,,,,Ruggieri M.(15127931100),,,,,
,,,,Klee E.W.(16022162600),,,,,
,,,,Vandrovcova J.(16033551800),,,,,
,,,,Chae J.H.(16241023700),,,,,
,,,,Karimiani E.G.(18233632200),,,,,
,,,,Llorente C.(21741373100),,,,,
,,,,Obeid M.(22835375200),,,,,
,,,,Kirmani S.(22957978500),,,,,
,,,,Grosso E.(23059963000),,,,,
,,,,Cuppari C.(23469184800),,,,,
,,,,Belcastro V.(24167677600),,,,,
,,,,Wahab K.(24367621900),,,,,
,,,,Jain M.(24577367500),,,,,
,,,,Jepson J.E.C.(24577637600),,,,,
,,,,Vari M.S.(24825286800),,,,,
,,,,Iyagba A.(24831570400),,,,,
,,,,Fabretto A.(25721968300),,,,,
,,,,Marseglia G.L.(26422377200),,,,,
,,,,Santiago-Sim T.(26422609000),,,,,
,,,,Fortuna S.(28067666000),,,,,
,,,,Benrhouma H.(34970721100),,,,,
,,,,Cutrupi M.C.(35309819600),,,,,
,,,,Ojo O.O.(35318197000),,,,,
,,,,Oshinaike O.O.(35318351400),,,,,
,,,,Gonzalez-Peñas J.(35336386500),,,,,
,,,,Okubadejo N.U.(35580284300),,,,,
,,,,Ibrahim S.(35589181300),,,,,
,,,,Silvestri G.(35965821500),,,,,
,,,,Mine J.(36101659900),,,,,
,,,,Nachbauer W.(36151164400),,,,,
,,,,Rossi P.(36164435500),,,,,
,,,,Tucci A.(36189161300),,,,,
,,,,Obiabo Y.(36462701400),,,,,
,,,,Yau W.Y.(36473984100),,,,,
,,,,Motazacker M.M.(36495028100),,,,,
,,,,Boysen K.(36558742200),,,,,
,,,,Person R.E.(36912376400),,,,,
,,,,Choi M.(36929149400),,,,,
,,,,Bakhtadze S.(37015274500),,,,,
,,,,Shaikh F.(37034995600),,,,,
,,,,Colin E.(37074344500),,,,,
,,,,Armstrong-Moron J.(38760931600),,,,,
,,,,Zanetti M.N.(47161652900),,,,,
,,,,Ekenze O.(51763416600),,,,,
,,,,Dixon C.L.(54784303700),,,,,
,,,,Bello O.D.(54911686500),,,,,
,,,,Baldassari S.(55135562300),,,,,
,,,,Benfenati F.(55157087200),,,,,
,,,,Gupta N.(55237497500),,,,,
,,,,Valence S.(55349516800),,,,,
,,,,Al-Mutairi F.(55499294000),,,,,
,,,,Iacomino M.(55534294500),,,,,
,,,,Osmond M.(55543707500),,,,,
,,,,Ferrucci V.(55565439400),,,,,
,,,,Efthymiou S.(55567766600),,,,,
,,,,Jaeger B.(55632164200),,,,,
,,,,Hacke M.(55637854700),,,,,
,,,,Kathom H.(55662499800),,,,,
,,,,Atawneh O.(55782578600),,,,,
,,,,Maroofian R.(55921330400),,,,,
,,,,Van Haeringen A.(55923754000),,,,,
,,,,Papacostas S.(55947902300),,,,,
,,,,Kara M.(55964701800),,,,,
,,,,Wang T.(55974890700),,,,,
,,,,Torti E.(56008508900),,,,,
,,,,David E.(56032060200),,,,,
,,,,Brusco A.(56206861200),,,,,
,,,,Van-Maldergem L.(56214168800),,,,,
,,,,Guo H.(56440611600),,,,,
,,,,Oguntunde O.(56488098500),,,,,
,,,,Schneider A.L.(56579620600),,,,,
,,,,Myers C.T.(56583476900),,,,,
,,,,Yoo Y.(56637664500),,,,,
,,,,Nwazor E.(56641874300),,,,,
,,,,Dipasquale V.(56688617900),,,,,
,,,,Khachatryan S.(56692666600),,,,,
,,,,Pisani L.(56740497100),,,,,
,,,,Tariq H.(56771075500),,,,,
,,,,Zharkynbekova N.(56806930600),,,,,
,,,,Heimer G.(56845158700),,,,,
,,,,Rossi S.(56878262800),,,,,
,,,,Fidani L.(56962826100),,,,,
,,,,Hostettler I.(57105716400),,,,,
,,,,Senkevich K.(57189700742),,,,,
,,,,Sallemi A.(57191748218),,,,,
,,,,O’Connor E.(57192235951),,,,,
,,,,Willaert R.(57192281115),,,,,
,,,,Karashova B.(57192942562),,,,,
,,,,Clayton-Smith J.(57194220831),,,,,
,,,,Muir A.M.(57194599708),,,,,
,,,,Blesson A.(57195522915),,,,,
,,,,Fassi E.(57195580766),,,,,
,,,,Scala M.(57195634402),,,,,
,,,,Banu S.(57195761317),,,,,
,,,,Bourinaris T.(57196355245),,,,,
,,,,Bello A.H.(57198189182),,,,,
,,,,Wu H.(57198667609),,,,,
,,,,Monaghan K.G.(57202571651),,,,,
,,,,Balagura G.(57202912170),,,,,
,,,,Guliyeva U.(57202926344),,,,,
,,,,Bernier R.A.(57203215362),,,,,
,,,,Eichler E.E.(57204577939),,,,,
,,,,Saadi N.W.(57204594940),,,,,
,,,,AlKhawaja M.(57208054625),,,,,
,,,,Gunderson L.(57208174840),,,,,
,,,,Amadori E.(57208628548),,,,,
,,,,Kriouile Y.(57209005620),,,,,
,,,,Koneyev K.(57209652402),,,,,
,,,,Manizha G.(57209653691),,,,,
,,,,Maqbool S.(57209654996),,,,,
,,,,Isrofilov M.(57209657548),,,,,
,,,,Taiwo L.(57209658311),,,,,
,,,,Rana N.(57209658400),,,,,
,,,,Sherifa H.(57209660145),,,,,
,,,,Khan A.(57209661261),,,,,
,,,,Abubakar S.(57209663297),,,,,
,,,,Quan Y.(57209850577),,,,,
,,,,Salih A.M.(57209877459),,,,,
,,,,O’Callaghan B.(57209880053),,,,,
,,,,Jan F.(57209880753),,,,,
,,,,Madej M.(57209884384),,,,,
,,,,Schultz-Rogers L.(57209885767),,,,,
,,,,Chen S.(57209887761),,,,,
,,,,AlKhawaja I.(57209890324),,,,,
,,,,Fusco M.(57211355564),,,,,
,,,,Williams U.(57211700072),,,,,
,,,,Mefford H.C.(57217026022),,,,,
,,,,Dardiotis E.(57217709403),,,,,
,,,,Haridy N.(57219969047),,,,,
,,,,Chez M.(57220241493),,,,,
,,,,Dauvilliers Y.A.(57220464482),,,,,
,,,,Duncan S.(35174263900),,,,,
,,,,Cubero D.(6603493388),,,,,
,,,,Renzoni F.(6603770390),,,,,
,,,,Robb G.(7006914537),,,,,
,,,,Millen J.(22985827000),,,,,
,,,,Lia Li Y.(55550008000),,,,,
,,,,Barker P.(57203084776),,,,,
,,,,Whaley W.(55284728100),,,,,
,,,,Vladimirova A.(55286911600),,,,,
,,,,Earp C.(56641576100),,,,,
,,,,Adams R.(7403935120),,,,,
,,,,Bastos A.(54384946500),,,,,
,,,,Huo Y.(7102796382),,,,,
,,,,Danbold F.(56516844100),,,,,
,,,,Aljunid S.M.(6504304159),,,,,
,,,,Basaleem H.(6505771974),,,,,
,,,,Renzaho A.M.N.(6505786588),,,,,
,,,,Campuzano Rincon J.C.(6505846919),,,,,
,,,,Szoeke C.E.I.(6505920990),,,,,
,,,,Gamkrelidze A.(6506029209),,,,,
,,,,Elyazar I.R.F.(6506894785),,,,,
,,,,Schaeffner E.(6507021741),,,,,
,,,,Quistberg D.A.(6507023057),,,,,
,,,,Enayati A.(6507139052),,,,,
,,,,Mestrovic T.(6507240107),,,,,
,,,,Pourshams A.(6507521541),,,,,
,,,,Rahimi-Movaghar V.(6507646446),,,,,
,,,,Boufous S.(6507794444),,,,,
,,,,Katikireddi S.V.(6508254091),,,,,
,,,,Kissimova-Skarbek K.(6508376962),,,,,
,,,,Barquera S.(6601928375),,,,,
,,,,Hendrie D.(6602071966),,,,,
,,,,Laxmaiah A.(6602252209),,,,,
,,,,Kuate Defo B.(6602271655),,,,,
,,,,Ronfani L.(6602565620),,,,,
,,,,Taveira N.(6602731390),,,,,
,,,,Panda-Jonas S.(6603112353),,,,,
,,,,Asadi-Lari M.(6603191961),,,,,
,,,,Breitborde N.J.K.(6603260895),,,,,
,,,,Kisa A.(6603346067),,,,,
,,,,Schwebel D.C.(6603681532),,,,,
,,,,Husseini A.(6603689690),,,,,
,,,,Steel N.(6603791873),,,,,
,,,,Baune B.T.(6603807336),,,,,
,,,,Kosek M.N.(6701330606),,,,,
,,,,Miazgowski T.(6701404689),,,,,
,,,,Lorkowski S.(6701543917),,,,,
,,,,Nachega J.B.(6701544088),,,,,
,,,,Pandian J.D.(6701618847),,,,,
,,,,Khan G.(6701635515),,,,,
,,,,Sarrafzadegan N.(6701751316),,,,,
,,,,Starodubov V.I.(6701820838),,,,,
,,,,Lorch S.A.(6701858100),,,,,
,,,,Sitas F.(7003393668),,,,,
,,,,Zodpey S.(7003415080),,,,,
,,,,Olivares P.R.(7003510190),,,,,
,,,,Violante F.S.(7003555890),,,,,
,,,,Degenhardt L.(7004040033),,,,,
,,,,Molokhia M.(7004121920),,,,,
,,,,Dargan P.I.(7004249431),,,,,
,,,,Moschos M.M.(7004456074),,,,,
,,,,Rothenbacher D.(7004765162),,,,,
,,,,Morawska L.(7004773965),,,,,
,,,,Thrift A.G.(7004824524),,,,,
,,,,Bensenor I.M.(7004830338),,,,,
,,,,Sagar R.(7004906586),,,,,
,,,,Britton G.(7004997832),,,,,
,,,,Allebeck P.(7005187575),,,,,
,,,,Criqui M.H.(7005209601),,,,,
,,,,Gallus S.(7005387365),,,,,
,,,,Bosetti C.(7005452936),,,,,
,,,,Gugnani H.C.(7005567008),,,,,
,,,,Keren A.(7005620132),,,,,
,,,,Marcenes W.(7005668102),,,,,
,,,,Mehendale S.M.(7005739578),,,,,
,,,,Gessner B.D.(7005779769),,,,,
,,,,Cicuttini F.M.(7005887430),,,,,
,,,,Maulik P.K.(7005919685),,,,,
,,,,Tuzcu E.M.(7005951350),,,,,
,,,,Weintraub R.G.(7006079405),,,,,
,,,,De leo D.(7006128644),,,,,
,,,,Sanabria J.(7006262917),,,,,
,,,,Kopec J.A.(7006284395),,,,,
,,,,Postma M.J.(7006296502),,,,,
,,,,Kissoon N.(7006364038),,,,,
,,,,Pond C.D.(7006633763),,,,,
,,,,Schutte A.E.(7006697270),,,,,
,,,,Ermakov S.P.(7006796196),,,,,
,,,,Eggen A.E.(7007019553),,,,,
,,,,Lodha R.(7007019609),,,,,
,,,,Ghoshal A.G.(7007024941),,,,,
,,,,Krishnaswami S.(7101616028),,,,,
,,,,Murthy G.V.S.(7101778322),,,,,
,,,,Ausloos M.(7101798907),,,,,
,,,,Soriano J.B.(7101973935),,,,,
,,,,Kapil U.(7102150974),,,,,
,,,,Patton G.C.(7102184358),,,,,
,,,,Lozano R.(7102198442),,,,,
,,,,Dolan K.A.(7102282862),,,,,
,,,,Petri W.A.(7102315371),,,,,
,,,,Winkler A.S.(7102499893),,,,,
,,,,Towbin J.A.(7102520568),,,,,
,,,,Parry C.D.H.(7102561312),,,,,
,,,,Dash A.P.(7102622168),,,,,
,,,,Rehm J.(7102718648),,,,,
,,,,Hankey G.J.(7102816661),,,,,
,,,,Stokes M.A.(7102859000),,,,,
,,,,Guimaraes A.L.S.(7102920800),,,,,
,,,,Carvalho F.(7103070417),,,,,
,,,,Mackay M.T.(7103172855),,,,,
,,,,Gillum R.F.(7103181331),,,,,
,,,,Nagel G.(7103201623),,,,,
,,,,Balakrishnan K.(7103222725),,,,,
,,,,Bourne R.(7103377631),,,,,
,,,,Franklin R.C.(7201428429),,,,,
,,,,Sinha D.N.(7201637609),,,,,
,,,,Cano J.(7201865982),,,,,
,,,,Mehta K.M.(7201939418),,,,,
,,,,Berman A.E.(7201959854),,,,,
,,,,Leigh J.(7202089604),,,,,
,,,,McKee M.(7202304775),,,,,
,,,,Sheikh A.(7202522962),,,,,
,,,,Gill P.S.(7202766660),,,,,
,,,,Agarwal G.(7202933323),,,,,
,,,,Aggarwal R.(7203024985),,,,,
,,,,Mehrotra R.(7203045563),,,,,
,,,,Lopez A.D.(7401455668),,,,,
,,,,Bell M.L.(7401466450),,,,,
,,,,Thomas N.(7401830494),,,,,
,,,,Pereira A.(7402230187),,,,,
,,,,Gomez R.S.(7402250311),,,,,
,,,,Joshi A.(7402453097),,,,,
,,,,Robinson S.R.(7402673969),,,,,
,,,,Nair S.(7402726229),,,,,
,,,,Silva J.P.(7403023631),,,,,
,,,,Alonso J.(7403482329),,,,,
,,,,Sinha A.P.(7403680221),,,,,
