input layer,restriction endonuclease,Encipher,matplotlib,Intermediate code,Force Feedback,,Dose-Duration Curve,Cytoplasmic hybrid embryos,,,,,,,,,,,
Kernel Support Vector Machines,Restriction enzyme,Encryption,naive Bayes classifier,Interpreter,Forward Kinematic Solution,,Drug Delivery,embryonic stem cell,,,,,,,,,,,
latent dirichlet allocation,RNA,firewall,neural network,Jackson Structured Programming,Forward Kinematics,,Electrophoresis,extracorporeal,,,,,,,,,,,
learning rate,Transfer RNA,Firmware,PageRank,Java,Gripper,,Emergency Medicine,flow cytometry,,,,,,,,,,,
machine learning,tRNA,Forward secrecy,pivot table,JavaScript,Haptic feedback,,Endocrinology,Foetal stem cell,,,,,,,,,,,
model training,,Hacker,posterior distribution,JUnit,Human centered Automation,,Enzyme,Gene therapy,,,,,,,,,,,
multinomial classification,,Hacktivist,predictive analytics,Machine code,Human centered Robotics,,Ethical Pharmaceutical,Genotype,,,,,,,,,,,
natural language processing,,HTTP Secure,predictive modeling,Module library,Human robot,,Food and Drug Administration,Heterologous use,,,,,,,,,,,
natural language understanding,,HTTPS,Predictive Modelling,Mutation testing,Humanoid,,Habituation,Heterotopic,,,,,,,,,,,
neural network,,Human centred security,preprocessing,NoSQL,Humanoid Robot Systems,,Hormone,Homologous use,,,,,,,,,,,
Output layer,,Information security,Prior distribution,Object oriented design,Industrial robot,,Infusion Kinetics,Homotopic,,,,,,,,,,,
overfitting,,keylogger,Reinforcement learning,Object-oriented language,Intelligent robot,,Insulin,human tissue engineered product,,,,,,,,,,,
perceptron,,malicious software,supervised learning,Pair programming,Intelligent systems,,Kinase,hybridoma,,,,,,,,,,,
pre-trained model,,Malware,support vector machine,Penetration testing,Intelligent Transportation Systems,,Lyophilisation,image cytometry,,,,,,,,,,,
proxy labels,,Message authentication,Test set,Portable code,Inverse kinematics,,Lyophiliser,immortalizing oncogene,,,,,,,,,,,
random forest,,Multi factor authentication,Training set,Portable software,Jacobian matrix,,Microbial Barrier,immunohistochemistry,,,,,,,,,,,
Rectified Linear Unit,,National Cybersecurity Strategy,trigram,Procedural language,Joint,,Molecular Diagnostics,Laser Capture Microdissection,,,,,,,,,,,
recurrent neural network,,National Security Agency,Unstructured data,Program analysis,Joint Interpolated Motion,,Mutagenesis,laser tweezers,,,,,,,,,,,
reinforcement learning,,Network security,unsupervised learning,Program repair,Joint Motion Type,,Nonrenal Clearance,microdissection,,,,,,,,,,,
scikit learn,,Password protection,Validation set,Programming team,Joint Space,,Obstetrics,microimaging,,,,,,,,,,,
semi supervised learning,,Phishing,,Revision control,Kinematics,,Partial agonist,micromanipulation,,,,,,,,,,,
semi supervised machine learning,,Plaintext,,Scripting language,Logistics,,Pharma,microtissues,,,,,,,,,,,
sentiment analysis,,Privacy,,Scrum,Marine Robotics,,Pharma Resources,nuclear transfer,,,,,,,,,,,
sigmoid function,,Private data,,Scrum development,Material Processing Robot,,Pharmaceutical Development,optical trapping,,,,,,,,,,,
squared hinge loss,,Private key infrastructure,,Scrum master,Medical Robots,,Pharmaceutical Research,optical tweezers,,,,,,,,,,,
stochastic gradient descent,,Public key infrastructure,,Singleton pattern,Mining Robotics,,Pharmaceuticals,organotypic,,,,,,,,,,,
structural risk minimization,,ransomware,,Software bug,Motion Axis,,Pharmaceutics,organotypic models,,,,,,,,,,,
supervised learning,,ReCAPTCHA,,Software deployment,Motion Planning,,Pharmacodynamics,plasmid,,,,,,,,,,,
supervised machine learning,,Rootkit,,Software development environment,Nanobot,,Pharmacogenetics,Regenerative medicine,,,,,,,,,,,
Support Vector Machines,,Routing security,,Software development process,Neurorobotics,,Pharmacokinetics,Scar tissue,,,,,,,,,,,
Tensor Processing Unit,,Scareware,,Software engineering,Offline programming,,Pharmacological,single cell analysis,,,,,,,,,,,
TensorBoard,,Security,,Source code,Path Planning,,Pharmacology,site-directed mutagenesis,,,,,,,,,,,
TensorFlow,,Social engineering,,Source code management,Pathfinding,,Pharmacovigilance,small intestinal submucosa,,,,,,,,,,,
TensorFlow Serving,,Software security,,Source control,PLC,,Potency,Somatic cell nuclear transfer,,,,,,,,,,,
test set,,Software Vulnerability,,SQL,Program robot,,Preclinical Studies,stem cell,,,,,,,,,,,
Training set,,spear phishing,,SVN,Programmable Logical Controller,,Proteomics,synthetic lethal screening,,,,,,,,,,,
transfer learning,,Spoofing,,Symbolic execution,Rehabilitation Robotics,,Toxicology,Tissue,,,,,,,,,,,
underfitting,,spyware,,Systems analyst,Revolute Joint,,Yeast Artificial Chromosome,tumoroid,,,,,,,,,,,
unsupervised learning,,SQL Injection,,Systems developer,Robot,,,Ventricular assist device,,,,,,,,,,,
unsupervised machine learning,,SSL certificate,,Systems specification,Robot controller,,,Xenogeneic,,,,,,,,,,,
validation set,,Symmetric encryption,,Test driven development,Robot Coordinate System,,,xenograft,,,,,,,,,,,
vanishing gradient problem,,TOR,,UML,Robot dynamics,,,xenotransplantation,,,,,,,,,,,
Wasserstein loss,,Transport layer security,,Unified Modeling Language,Robot Integrator,,,,,,,,,,,,,,
,,Trojan,,Unit testing,Robot joint,,,,,,,,,,,,,,
,,two factor authentication,,Version control,Robot kinematics,,,,,,,,,,,,,,
,,Unenciphered message,,Visitor pattern,Robot motion planning,,,,,,,,,,,,,,
,,Virtual Private Network,,Waterfall model,Robot programming,,,,,,,,,,,,,,
,,Virtual Warfare,,,Robot Programming Language,,,,,,,,,,,,,,
