AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
,Webster Z.(23478435400),,,,Tikly M.(7004118459),Lalani A.K.A.(57194006545),White C.(57204177676),,Hughes D.A.(55186237200)
,Venda L.(25923180300),,,,Foti R.(7004157971),McGregor B.A.(57203046442),Bhandari S.(57205652519),,Bou-Gharios G.(7004519069)
,Faull P.(26433290800),,,,Chizzolini C.(7004198701),Sansregret L.(6504037312),,,Pusey C.D.(7006620861)
,Aitman T.J.(26643597700),,,,Lapadula G.(7004369667),Kanu N.(6506799928),,,Fisk N.M.(7102641855)
,Montoya A.(48761835700),,,,Bambara L.M.(7004383330),Loi S.(6701541838),,,David A.L.(7402605276)
,Moyon B.(55363160900),,,,Czirjak L.(7004435091),Swanton C.(7005912775),,,Behmoaras J.V.(8313253500)
,Ko J.H.(56313137800),,,,Kotulska A.(7004820701),Salgado R.(7006763069),,,Guillot P.V.(17034676900)
,Diaz A.G.(56637659900),,,,Valesini G.(7005133584),Rowan A.(7103107884),,,De Coppi P.(24801882300)
,Petretto E.(57191842541),,,,Popa S.(7005366714),Gore M.(7201669340),,,Moschidou D.(36662705400)
,Abraham D.J.(57203195982),,,,Distler J.(7005411651),Larkin J.(8762665400),,,Corcelli M.(52463338400)
,Cederholm T.(7004021618),,,,Denisov L.N.(7005438557),Quezada S.A.(12762916100),,,Ekwalla V.J.(55768345100)
,Hodges A.(7004828085),,,,Mouthon L.(7005610056),Birkbak N.J.(37005365300),,,Hau K.L.(57147342200)
,Lannfelt L.(7005352603),,,,Matucci-Cerinic M.(7005642558),Turajlic S.(49862165700),,,Cook H.T.(57216068401)
,van Loon L.J.C.(7006194281),,,,Kötter I.(7005708300),McGranahan N.(54956605300),,,Adjaye J.(7003709815)
,Timmons J.A.(7006271249),,,,Yavuz S.(7005988852),Savas P.(56228357900),,,Graffmann N.(14018122800)
,Gustafsson T.(7101869124),,,,Denton C.(7006031021),Litchfield K.(56422214500),,,Wruck W.(15844542600)
,Kraus W.E.(7103319252),,,,Farge-Bancel D.(7006109686),Rosenthal R.(57150146000),,,Guillot P.V.(17034676900)
,Phillips B.E.(7401447675),,,,Ullman S.(7006205522),Wong Y.N.S.(57194325167),,,Fehm T.(35458773400)
,Lunnon K.(8854048100),,,,Cantatore F.P.(7006242584),Xu H.(57194347401),,,Balan P.(54886322100)
,Atherton P.J.(14012757400),,,,Rozman B.(7006708872),Chambers T.(57194347930),,,Hagenbeck C.(55175585800)
,Keohane A.(15733082600),,,,Burkhardt H.(7102062810),Reading J.L.(57206292773),,,Rahman M.S.(56948811100)
,Rullman E.(17136363000),,,,Mathieu A.(7102213890),Al Bakir M.(57208932365),,,Bohndorf M.(56993605000)
,Crossland H.(25654055100),,,,Seidel M.(7102273712),,,,Ncube A.(57190442193)
,Howard R.(34769841900),,,,Jimenez S.(7102380051),,,,Spitzhorn L.S.(57195931683)
,Jensen T.(35511536800),,,,Valentini G.(7102929864),,,,
,Gallagher I.J.(36835824100),,,,Novak S.(7103195661),,,,
,Sood S.(56818539500),,,,Cutolo M.(7103329735),,,,
,,,,,Black C.(7202128304),,,,
,,,,,Vacca A.(8080280100),,,,
,,,,,Damjanov N.(8503557800),,,,
,,,,,Bielecka O.K.(8538884500),,,,
,,,,,Eyerich K.(8674537400),,,,
,,,,,Hasler P.(8745970300),,,,
,,,,,Midtvedt Ø.(8932202500),,,,
,,,,,Strauss G.(14631344800),,,,
,,,,,Opris D.(15756184400),,,,
,,,,,Otsa K.(15830124800),,,,
,,,,,Corrado A.(15830930100),,,,
,,,,,Heitmann S.(16417136800),,,,
,,,,,Martinovic D.(16417426000),,,,
,,,,,Himsel A.(16417495200),,,,
,,,,,Rednic S.(16417734900),,,,
,,,,,Santamaria V.O.(16417842500),,,,
,,,,,Salvador M.J.(16417963800),,,,
,,,,,Üprus M.(22939478000),,,,
,,,,,Belloli L.(23134483900),,,,
,,,,,Mihai C.M.(23498262900),,,,
,,,,,Coleiro B.(23982115200),,,,
,,,,,Mallia C.(23982858000),,,,
,,,,,Avouac J.(23995253600),,,,
,,,,,Szamosi S.(24282182600),,,,
,,,,,Hunzelmann N.(24474793400),,,,
,,,,,De Souza Müller C.(24830252800),,,,
,,,,,Ladner U.M.(25647910900),,,,
,,,,,Chapman P.(25722689600),,,,
,,,,,Garen T.(26221739800),,,,
,,,,,Hein R.(26643568700),,,,
,,,,,Wigley F.M.(34573902800),,,,
,,,,,Cozzi F.(35271801400),,,,
,,,,,Caporali R.(35369730800),,,,
,,,,,Caramaschi P.(35375354000),,,,
,,,,,Kucharz E.J.(35376407100),,,,
,,,,,Meroni P.(35376419500),,,,
,,,,,Hachulla E.(35377410100),,,,
,,,,,Ionescu R.M.(36196636800),,,,
,,,,,Krummel-Lorenz B.(36196835200),,,,
,,,,,Nicoara I.(36197148500),,,,
,,,,,Sierakowsky S.(36197266600),,,,
,,,,,Hadj-Khelifa S.(36504148300),,,,
,,,,,Busquets J.(37024069600),,,,
,,,,,Iversen L.(55180566700),,,,
,,,,,Carreira P.E.(55192600900),,,,
,,,,,Gurman A.B.(55381867100),,,,
,,,,,Gabrielli A.(55759844600),,,,
,,,,,Stoica V.(55839909400),,,,
,,,,,Smith V.(56181329700),,,,
,,,,,Zenone T.(56186160600),,,,
,,,,,Agachi S.(56231186900),,,,
,,,,,Rubio S.R.(56231223300),,,,
,,,,,Westhovens R.(56478564700),,,,
,,,,,Popescu M.(56585381300),,,,
,,,,,De La Puente C.(57060382500),,,,
,,,,,Baresi M.(57060448500),,,,
,,,,,Stamenkovi B.(57060479100),,,,
,,,,,Szücs G.(57189695808),,,,
,,,,,Tyndall A.(57197276240),,,,
,,,,,Riemekasten G.(57203073213),,,,
,,,,,Stankovic A.(57206338734),,,,
,,,,,Da Silva J.A.P.(57207180007),,,,
,,,,,Montecucco C.(57207606647),,,,
,,,,,De La Peña Lefebvre P.G.(57211415473),,,,
,,,,,Pozzi M.R.(57214599895),,,,
,,,,,Braun-Moscovici Y.(57221237292),,,,
