AI and Machine Learning,Bioinformatics,Cybersecurity,Data Sciences,Software Engineering,Robotics,Synthetic Biology,Pharmacology and pharmaceuticals,Tissue Engineering,Regenerative Medicine
De Chiara F. (55479939500),Van Der Lugt A. (7004201650),De Bacquer D. (35393397100),Fidalgo A. (24338156900),Donnan G.A. (35375703700),Trevillion K. (36093631800),Pennati G. (7004162794),Kerenyi Á. (55191074400),Kellum J.A. (7103325757),De Bacquer D. (35393397100)
Khetan V. (55936572800),Bracard S. (7004440155),Koskenvuo M. (35425466000),Bentley P. (24466639300),Beenen L.F.M. (35794855700),Molyneaux E. (42262237800),Vignon-Clementel I.E. (13004394100),Hassell J. (55755688000),Murray P. (7402596639),Koskenvuo M. (35425466000)
Malago M. (55946935500),Roos Y.B.W.E.M. (7005626073),Madsen I.E.H. (36632817300),Gallagher E. (57188651229),Moulin T. (36728904500),Nath S. (57002424600),Corsini C. (54882677100),Gressens P. (57203054731),Arulkumaran N. (23975738700),Madsen I.E.H. (36632817300)
Udina E. (6506447298),Teitelbaum J. (7005964151),Lunau T. (54416043100),Loosemore M. (22941686000),Blasco J. (36784668700),Crowley G. (57205338123),Hsia T.Y. (54883432300),Bennett K. (57210546602),Gomez H. (24334777700),Lunau T. (54416043100)
Phillips J.B. (9240949100),Demchuk A.M. (7006058585),Ferrie J.E. (55045633300),Ahmed O.H. (36494002400),Reddy V.K. (36947226400),Rehm A. (7003772709),Pant S. (56121134700),Išgum I. (6507874503),Gomez A. (56939837800),Ferrie J.E. (55045633300)
Cobianchi S. (13003004000),Devlin T.G. (7006511071),Knutsson A. (55162047000),de Medici A. (56618780100),Roman L.S. (49862138600),Natarajan R. (7203044162),Baker C. (57198875486),Boylan G. (6602292136),Corveleyn J. (6507906732),Knutsson A. (55162047000)
Gonzalez-Perez F. (55537247200),Lopes D.K. (7006608001),Erbel R. (55780097500),Kumar B. (56692158300),Campbell B.C.V. (55337345500),Samworth R.J. (8622648300),Bulbulia R. (6506642821),Murphy K. (24332601100),Vliegen N. (14033545400),Erbel R. (55780097500)
Heimann C. (55850094300),Ribo M. (7006988462),Borritz M. (56062864000),Makalanda H.L. (56986609300),Soize S. (55651563800),Stohr K. (26533456000),Hendrikse J. (7003660124),de Vries L. (35551564900),Chau C. (36021079300),Borritz M. (56062864000)
Navarro X. (56967786300),Muir K.W. (7102230215),Kumari M. (57189230664),Sylvester R. (57192067311),Boers A.M.M. (55837454600),Qasim S. (36338254600),Ringleb P.A. (7003924176),Negro S. (36181450700),Yearwood K. (57192932927),Kumari M. (57189230664)
Manisty C. (6504025861),Mas J.L. (7102288811),Westerlund H. (57203071324),Rogers T. (57195377689),Davis S.M. (55838511107),Wang T. (52265072000),Calvet D. (7004467702),van der Aa N. (37462045800),Luyten P. (57203069499),Westerlund H. (57203071324)
Captur G. (6506837383),Nogueira R.G. (7102312928),Burr H. (57203620877),Hornby K. (57195380818),Van Zwam W.H. (55908913400),Shah R.D. (55255267100),Jansen O. (7004559323),Benders M. (56030466500),Ghazeeri G. (6507574366),Burr H. (57203620877)
Reant P. (6507624424),Jovin T.G. (7102837475),Westerholm P.J.M. (57216110571),Edwards D. (57214402686),Van Oostenbrugge R.J. (56400623200),Sanghrajka A. (56259059500),Brott T.G. (7007060770),Groenendaal F. (56186807700),Seoud M. (7006802042),Westerholm P.J.M. (57216110571)
Elliott P.M. (7202244843),Dowling R.J. (7102921706),Nikitopoulos K. (6506529979),Pereira J.M. (23397613800),Al-Ajlan F.S. (56427994700),Latimer M. (56459828300),Mas J.L. (7102288811),Viergever M. (57203030739),Jamali F.R. (15127113200),Noon L.A. (6507235512)
Moon J.C. (7403231345),Oppenheim C. (7103176170),Jamieson K. (7007149717),Lopes D.S. (26031571400),Davalos A. (56881778000),Tissingh E. (56514046700),Algra A. (7102299895),Aristovich K. (26040428500),Gurusamy K.S. (16301178800),Burks D.J. (7004054762)
Tome-Esteban M. (8786523100),Mitchell P.J. (7402934060),Congdon B. (56367335500),dos Anjos R.K. (55389336300),Hill M.D. (57026858200),Edge P. (57189306203),Halliday A. (7102593623),Avery J. (56673693400),Musallam K.M. (24335608600),Galán Albiñana A. (7005682242)
Syrris P. (8892126000),White P.M. (7404089393),Zhou J. (56367637200),Ribeiro C.S. (55680659900),Brown S. (57188986570),Wright G.M. (57190029294),Becquemin J.P. (7102733140),Low B. (57194338012),Nassif J. (25645419200),Leal Tassias A. (35300011700)
Mirabel M. (19337718800),Marquering H.A. (8674123800),Paik J. (35821146600),Udina E. (6506447298),Brown M.M. (57197409420),Deakin S. (57197086593),Howard G. (7202021947),Holder D. (57205935474),Richards T. (56427569500),Acosta Umanzor C. (55308043200)
Herrey A.S. (26534328000),Beaumont M. (18436235400),Koh T. (53881525800),Phillips J.B. (9240949100),Rodriguez L.A. (57198933621),Brown R. (57203057316),Greving J.P. (12797608800),Ma K.L. (7202836854),Gamlin J. (14518959600),Forteza Vila J. (56667307100)
Nasis A. (32367730300),Almekhlafi M.A. (20336972000),Davidson B.R. (7402965763),Cobianchi S. (13003004000),Jansen I.G.H. (57205479054),Hudson I. (57205407575),Gregson J. (16238705700),Liu B.C. (26642876800),Serkova T. (6603076070),Arámbul-Anthony M.J. (57205717572)
Castelletti S. (55318143300),Lingsma H.F. (24073706400),Tsochatzis E. (16023392700),Gonzalez-Perez F. (55537247200),Dippel D.W.J. (57216813701),Hutchinson R. (57205407743),Jaap Kappelle L. (19734239500),Zhang Y. (55441743100),Shevtsova E. (6603104862),Borreda Gascó I. (57205723990)
Maestrini V. (55355501300),Agrinier N. (25627515500),Gurusamy K.S. (16301178800),Heimann C. (55850094300),Dawes J. (7101753257),Mitchell P.D. (57208011103),Eckstein H.H. (23488507900),Hu Z.B. (56009891200),Bachurin S. (7007087179),Manzano-Núñez F. (57205724637)
McKenna W.J. (56672467900),Madigan J. (25641325400),Roccarina D. (22958739600),Navarro X. (56967786300),Allen R. (57199388895),Charteris D. (7003299563),Fraedrich G. (55134488000),Lu J. (56599282900),Abramov A. (7102348938),Herrera A. (57205724854)
Sado D.M. (57203175810),Albers G.W. (26643607400),Thorburn D. (55217322300),Gehmlich K. (6507034376),Sanders C. (57208392093),Khaw P.T. (7006578947),Bonati L.H. (56521233200),Liu L. (56599393300),Neganova M. (49864350200),Maeurer M. (7004422039)
Jenkins S. (57217727705),Goyal M. (34770191900),Majumdar A. (56623900700),Lygate C.A. (6603433828),Li D. (27168216000),Mills K. (7202875406),Volkers E.J. (57189761826),Chen P.P. (57189051576),Sokolov V. (55587792500),Zumla A. (7006170723)
Yellon D.M. (7103223278),Heo J.H. (34869576000),Kälviäinen R. (7005112285),Redwood C. (6701789888),Li Y. (56021308100),Eastlake K. (54787676900),Brown M.M. (57197409420),Wang G.H. (57189057234),Vinogradova D. (55991594700),O'Shaughnessy R.F.L. (7004306801)
Davidson S.M. (10139785100),Guillemin F. (34976591800),Shorvon S.D. (7101797716),Lythgoe M.F. (7004107686),Collins A. (56389180500),Banerjee P. (55622180600),Gentsch A. (26647580400),Gong Y.X. (57191958883),Angelova P. (56081167500),Harper J. (7402361440)
Vicencio J.M. (16647995600),Menon B.K. (35170495700),Huberfeld G. (10440613000),Muthurangu V. (7801671480),Liadi M. (57202301551),Heywood W.E. (56458521200),Fotopoulou A. (26767738700),Lu C.C. (57195605406),Dec Williams A.C. (23007289500),Inman G. (20634665600)
Sivaraman V. (19337982500),Donnan G.A. (35375703700),Bermejo P.E. (23092992800),Smart N. (15754662200),Collino M. (6506832448),Limb G.A. (56785711800),Nolte T. (36017210900),Ruan X.Z. (57203413669),Donaldson L.J. (26324658000),Weibel L. (22236160200)
Arjun S. (53876771800),Beenen L.F.M. (35794855700),Gibbs A.A. (57217263716),Price A.N. (35335108200),De Kleijn D.P.V. (7003654548),Bliss E. (56989017700),Krahé C. (56116805300),Holloway C. (7101643482),Mordecai L. (56041230700),Rose A. (36028685600)
Boi-Doku C. (55808566600),Moulin T. (36728904500),McKevitt C. (6603848634),Riegler J. (35782379800),Pagliaro P. (7005683618),Coupland C. (7003598940),von Mohr M. (57190007075),Suzuki T. (14012223300),Reynolds C. (57217453451),Way B. (55254083600)
Riquelme J.A. (56015203500),Blasco J. (36784668700),Boaden R.J. (6701536163),Dubé K.N. (54880196400),Abbate A. (7006812173),Morriss R. (7004056331),Vari C. (57190187316),Watanabe T. (16183143000),Mace R. (7005945282),Brown S. (55880988000)
Multhoff G. (56235444000),Reddy V.K. (36947226400),Fulop N.J. (7003777671),McAndrew D.J. (56374079600),Preissner K.T. (7007034391),Kendrick D. (7006870304),Guy L. (57204013502),Shiotani M. (56347501200),Uggla C. (56329410300),Sebire N. (57049165000)
Zheng Y. (56597113200),Roman L.S. (49862138600),Tyrrell P.J. (7005446590),Turtle C.W. (57192910192),Cohen M.V. (7405992819),Sleney J. (23111755700),Jan Ankersmit H. (6504040937),Symonds A. (57038589700),Tejos C. (6506111269),Badshah I.I. (57191440304)
Kearney J. (56597579700),Campbell B.C.V. (55337345500),Perry C. (14831677400),Riley P.R. (57194786909),Takahashi M. (7406840184),Kellezi B. (25931569700),Giricz Z. (6506196778),Miyazaki K. (57193682707),Speck O. (7004258252), (null)
Sharma V. (57193313830),Soize S. (55651563800),Rudd A.G. (19337989900),Taylor A.M. (57195810900),Davidson S.M. (10139785100),Joseph S. (34770520100),Garamvölgyi R. (6506437714),Paik J.K. (35821146600),Acosta-Cabronero J. (8235719600),Grosset K.A. (6506382805)
Hall A.R. (57213019287),Boers A.M.M. (55837454600),Turner S.J. (23478504000),Tejos C. (6506111269),Downey J.M. (16136277100),Barnes J. (55415843900),Pils D. (6508196144),Pasquale L.R. (7003824401),Callaghan M. (9736087500),Marrinan S.L. (6507776801)
Das D. (57215757920),Davis S.M. (55838511107),Hunter R.M. (55541432300),Speck O. (7004258252),Cabrera-Fuentes H.A. (55322522400),Hill T. (55680916900),Hausenloy D. (6602976997),Azuara-Blanco A. (7006394568),Milovic C. (55751317800),Bajaj N. (6603851732)
Haddad F.S. (7203033976),Van Zwam W.H. (55908913400),Morris S. (56449994300),Acosta-Cabronero J. (8235719600),Zuurbier C.J. (55989035300),Beckett K. (55928549900),Hoerstrup S. (7004435100),Barton K. (7007041047),Mattern H. (57193311339),Grosset D.G. (7005989891)
Thangarajah T. (24466832300),Van Oostenbrugge R.J. (56400623200),Ramsay A.I.G. (57196582783),Callaghan M. (9736087500),Makdissi M. (6507502568),Baker R. (56601036600),Gyöngyösi M. (7004704717),King A.J. (8117351100),Gentsch A. (26647580400),Ben-Shlomo Y. (7006649063)
Hexter A.T. (56091867300),Al-Ajlan F.S. (56427994700),Wolfe C.D.A. (57202754705),Milovic C. (55751317800),Patricios J. (6508129808),Christie N. (57210406972),Ferdinandy P. (7006126478),Yamamoto T. (55619315580),Fotopoulou A. (26767738700),Wood N. (7202960784)
Blunn G. (57206307303),Davalos A. (56881778000),Eastwood D.M. (7006715740),Mattern H. (57193311339),Kissick J. (6602591503),Gunnell D. (7006194937),Pavo N. (14065082800),Sii S. (57201589027),Nolte T. (36017210900),Morris H.R. (7401534782)
Carter D. (7402372823),Hill M.D. (57026858200),Wormald J.C.R. (55910898600),Ball S. (7202536805),Echemendia R.J. (6602814408),Heron J. (7006836112),Emmert M. (20734222100),Davidson B.R. (7402965763),Krahé C. (56116805300),Williams N.M. (7402772034)
Ribéreau-Gayon A. (57191155417),Brown S. (57188986570),Park C.Y. (57200112393),Jin J. (57207946367),Broglio S.P. (6603278805),Lewis G. (7402636617),Goliasch G. (25924899200),Simillis C. (14819767700),von Mohr M. (57190007075),Burn D.J. (26034521700)
Regan S. (57200652817),Brown M.M. (57197409420),Zwart R. (7005058695),Somerset S. (6602564659),Meeuwisse W. (7003796503),Crane C. (8549492600),Jakab A. (36473494400),Gurusamy K.S. (16301178800),Vari C. (57190187316),Malek N. (36727900800)
Kwan P. (7004369601),Rodriguez L.A. (57198933621),Roy M. (8505890400),De-Graft Aikins A. (15118884800),McCrea M. (7003908034),Evans J. (55259928400),Baranyai T. (36655461600),Li T. (24343843800),Guy L. (57204013502),Lawton M.A. (55599815100)
Hong Z. (7201414497),Jansen I.G.H. (57205479054),Armstrong J.D. (24436539000),Mnatzaganian G. (15830390300),Putukian M. (7004220392),Williams J.M.G. (57201807335),Lorant D. (37761910300),Vaughan J. (54931056800),Papavassiliou C. (6701426596),Swallow D.M.A. (56007117800)
Ding D. (35331652300),Dippel D.W.J. (57216813701),Grant S.G.N. (35430722000),Chan C.K.Y. (37261026700),Guskiewicz K. (7004697944),Meyers T. (7004842449),Sárközy M. (55485818100),Rouse B. (57014621800),Thielemans K. (23480655200),Hardy J. (56210513900)
Zhang Q. (55241899100),Butler J.S. (8235889100),Sorokina O. (37024826000),Baatiema L. (55775609400),Leddy J. (7005480247),Giaquinto C. (7006585659),Winkler J. (55605779390),Moggia E. (57191832563),Fobelets K. (56277589700),Barker R.A. (57198363260)
Zhu G. (55451891400),Agu O. (35075797600),Skene N. (55373156000),Sav A. (57189334648),Herring S. (7005704555),Bulterys M. (7006690213),Maurer G. (55606327600),Lightbody G. (7003406304),Mathivanan A. (57210571711),Garriga J. (7005389536)
Yang B. (55584795104),Malhotra K. (35302751600),Mazzo F. (55796684300),Liang H. (7402854031),McCrory P. (7006704704),Dusheiko G. (7006885162),Auer K. (55897547600),Temko A. (12143283200),Aylin P. (7003627876),Jelinek J. (7102437277)
Wang T. (56135245500),Molloy S. (56133107700),Sher E. (56265777100),Zhu F. (55262051200),Engebretsen L. (7006820499),Thorne C. (7101873678),Zlabinger K. (56829394600),Marnane W. (36832339300),Hopkins S. (7202260726),Pan H. (7403295085)
Ge Y. (56810185300),Selvadurai S. (56538368700),Smith C. (56883384000),Liu C. (57188879979),Ellenbogen R. (7007098380),El-Sayed M.H. (7202415889),Lukovic D. (56880131600),Ahmed R. (57193818940),Holmes A. (7401687091),Li D. (7405324187)
Sander J.W. (57188659835),Benton A. (57189634790),Simonnet C. (57076559000),Tan H. (57193125677),Aubry M. (7101757425),Chang M.H. (7404503779),Zimba A. (57191629752),Kretz O. (6603872751),Johnson A. (7410016381),Cesaroni M. (20435608200)
Wang M. (57205260657),Mookerjee R. (6603672216),Išgum I. (6507874503),Niu L. (57196346604),Dvořák J. (7202106693),Jonas M.M. (13310384300),Przyklenk K. (7006115426),Denecke B. (7004673874),Jaffer U. (8923843000),Laumet G. (24073375700)
Wang W. (57216606865),Jalan R. (7005505892),Boylan G. (6602292136),Zhao L. (57203033250),Sullivan S.J. (7202445201),Indolfi G. (14008523300),Redington A. (7102622991),Holthofer H. (7005262494),Birgand G. (36024921600),Dong Y. (25521219000)
Deaville R. (6603658704),Noiret L. (8976577400),Murphy K. (24332601100),Tomlinson M. (7102083161),Davis G.A. (7404344692),Walsh N. (24069550300),Yellon D. (7103223278),Huber T.B. (7103351974),Gharbi M. (56585592000),Chen S. (55008156300)
Davison N. (6603887563),Garcia-Martinez R. (35188889400),de Vries L. (35551564900),Sherr L. (35847280700),Sills A.K. (9132755300),Easterbrook P. (35313767600),Heusch G. (54797497200),Patel K. (7402235263),Naylor N. (57192169166),Issa J. (55382769000)
Jepson P.D. (7006738308),Sen S. (55500420800),Negro S. (36181450700),Skeen S. (36802889900),Raftery M. (16426436400),Wirth S. (55539918800),Bøtker H.E. (56962746200),Debacq-Chainiaux F. (8611941400),Troughton R. (57194185144),Smith T. (56953867300)
Law R.J. (7201502132),Sirimanna T. (6603415470),van der Aa N. (37462045800),Macedo A. (54788172900),Loosemore M. (22941686000),Chan P.L. (57191633367),Taba P. (6602324123),Widera D. (8875165400),Ayede A.I. (6506133639),Zhang Y. (57001303100)
Pierce G.J. (7202450331),Bamiou D.E. (6701719104),Benders M. (56030466500),Hensels I.S. (57079062500),Schneider K. (35732329100),Penazzato M. (57192121240),Sikk K. (16314268700),Ray S. (54412960100),Adejuyigbe E.A. (6602207916),Meyers T. (7004842449)
Barber J.L. (7402350646),Chong K. (7102553990),Groenendaal F. (56186807700),Sandoe J.A.T. (7003727365),Fuller G. (35812116900),Siberry G. (57193359327),Lees A. (57208252964),Musante L. (55311500600),Chikamata D.M. (6603404970),Giaquinto C. (7006585659)
Murphy S. (7402779296),Murphy C.F.B. (22956179200),Viergever M. (57203030739),Hopkins S. (7202260726),Kutcher J. (36437337900),Rapezzi C. (7005883289),Goluch S. (36052764100),Mitchell R. (55448666800),Qureshi Z. (7005352845),Bulterys M. (7006690213)
Learmonth J.A. (8222147000),Stavrinos G. (57194331506),Osrin D. (6603217003),Modarai B. (8377246500),Jessen K. (7101820405),Falk R.H. (7202742555),Dymerska B. (39961295300),Zeuner M.T. (55832037900),Bahl R. (7005774403),Dusheiko G. (7006885162)
Perkins M.W. (15045436600),Flanagan S. (7004650507),Wassenaar D. (6603675460),Barwick T.D. (8680921800),Mirsky R. (8707856500),Solomon S.D. (7401460954),Laistler E. (52463961600),Joch B. (56418509100),Piaggio G. (7005979371),Thorne C. (7101873678)
Penrose R. (16304614400),Hilz M. (7005993594),Merson L. (10639152700),Bell R.E. (16306367100),Arthur-Farraj P. (14622301100),Nochioka K. (25722243700),Kuehne A. (56254469100),Chambers D. (56820990600),Kriplani A. (7006490223),El-Sayed M.H. (7202415889)
Read F.L. (35079268000),Hösl K. (22985424400),Tangseefa D. (15770246900),Lyons O.T.A. (22941254800),Géranton S.M. (16444000200),Claggett B. (36871489900),Frass-Kriegl R. (56254910400),Sheard J. (57191862824),Temmerman M. (7006553571),Chang M.H. (7404503779)
Brownlow A. (55245783300),Winder K. (37113185800),Jao I. (23008947600),Price N.M. (35601901900),Tochiki K.K. (25123350600),Roca G.Q. (55967147700),Sieg J. (56465756700),Tomkins J.E. (57193706536),Gülmezoglu A.M. (7006645199),Jonas M.M. (13310384300)
Ben-Ezra M. (6603955727),Koehn J. (54383313200),Bull S. (34771216500),Homer-Vanniasinkam S. (56266099800),Miller J.R.C. (57199409197),Quarta C.C. (56619484400),Moser E. (57209760123),Mellows B. (57195613565),Qureshi R. (7006728965),Indolfi G. (14008523300)
Shevlin M. (7004128606),Ammon F. (57189076705),Cheah P.Y. (55748909600),Thomas S. (57189496577),Hunt S.P. (57202506125),Forni L. (7006309884),Gratacap M. (6603132134),Antonioli M. (57200747534),Neilson J. (7101613152),Walsh N. (24069550300)
Brewin C.R. (7006656085),Markus J. (57195280030),Shah More N. (55753395400),Hussain A. (57192711524),Maiarù M. (57217845767),Whyte G. (7006381097),Vanhaesebroeck B. (7004331309),Dengjel J. (57202553907),Kuti O. (8229494500),Easterbrook P. (35313767600)
Roberts N.P. (15849417400),Wang R. (57210193376),Nhan L.N.T. (55804913100),Baguneid M. (57193818294),Peebles D. (7006889522),Price S. (7202475463),Payrastre B. (7006423284),De Coppi P. (57203257829),Fawole B. (14633726200),Wirth S. (55539918800)
