,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
21,poor and vulnerable,food reserves,disability and politics of location,gender equality,exploiting girls,improving water,energy infrastructure,global trade,information technology,ethnicity,housing,future proof,climate mitigation,fishery,forest,governance,international support,ethical
22,poverty,food security,disability support,gender equity,exploiting women,inadequate water,energy research,gross domestic product,infrastructure,financial assistance,human settlements,global food waste,climate refugees,fishing,forest management,hate crime,international support for developing countries,food energy water nexus
23,poverty eradication,food waste,diseases,gender sensitive,female genital mutilation,inadequate water supply,energy sustainability,gross domestic product growth,innovation,foreign aid,impact of cities,greenhouse gasses,climate related hazards,fishing practices,forests,human rights,knowledge sharing,forced displacement
24,poverty line,genetic diversity,family planning,global citizenship,feminism,infrastructure,energy technology,human trafficking,internet access,foreign investment,inadequate housing,harvest losses,climate resilience,global warming,genetic resources,human trafficking,multi stakeholder partnerships,good governance
25,quality of life,genetic diversity of seeds,family support,global education,forced marriage,irrigation,fossil fuel,inclusive economic growth,irrigation,gender,informal settlements,life cycle,co2 capture,illegal fishing,illegal wildlife products,illegal arms,multistakeholder partnerships,governance
26,refugee,genetics,health,inclusion,gender,lakes,green economy,innovation,knowledge in education for all,gender inequality,infrastructure,market distortions,co2 conversion,kelp,illicit trafficking,illicit financial flows,poverty eradication,governance and policy
27,resources,hunger,health in resource constrained settings,inclusion and education,gender and discrimination,latrines,greenhouse gas,insurance,market value chain,global financial markets,land,material goods,cop 21,law of the sea,indigenous,inclusion,public private partnerships,governance and risk
28,social protection,hungry,health services,inclusive,gender and governance,open defecation,greenhouse gas emissions,international trade,mobile networks,health,land consumption,materialism,cop 22,marine,indigenous populations,inclusive institutions,science cooperation agreements,governance policy
29,social protection systems,hungry people,health worker density,inclusive education,gender discrimination,pollution,hydroelectric,job creation,mobile networks in developing countries,homelessness,local materials,materials goods,cyclone,marine areas,invasive alien species,inclusive societies,sharing knowledge,human rights
30,starvation,improved nutrition,healthy,innovation,gender equality,reclaimed water,low carbon,job quality,national security,homophobia,mitigation,monitoring sustainable development,drought,marine biodiversity,invasive species,inclusive society,technology cooperation agreements,human well being
31,sustainable,innovations and health,healthy lives,international cooperation,gender parity,recycled water,modern electricity,job stability,network infrastructure,human rights,natural disasters,natural resources,ecosystems,marine ecosystems,land conservation,institutions,technology transfer,human wellbeing
32,third world,legumes,hepatitis,learning opportunities,governance and gender,reuse,modern energy,jobs,phone service,inclusion,natural hazards,obsolescence,emissions,marine fisheries,land degradation,internally displaced,transfer technology,inclusive
33,vulnerable,maize,hiv,lifelong learning,human rights,river basins,natural gas,labour market,public policy,income growth,natural heritage,overconsumption,extreme weather,marine parks,land loss,judiciary,weighted tariff average,indigenous knowledge
34,wealth distribution,malnourished,immunisation,literacy,human trafficking,rivers,reliable energy,labour rights,quality of life,income inequality,over crowding,procurement,extreme weather events,marine pollution,land use,justice,women entrepreneurs,inter generational
35,,malnutrition,improving mortality,literacy skills,humanitarian,safe drinking water,renewable,micro finance,regional infrastructure,indigenous,overcrowding,production,forest fire,marine resources,land use and sustainability,justice for all,world trade organization,intergenerational
36,,nutrition,increasing life expectancy,numeracy,marginalised,sanitation,renewable energy,microfinance,research,inequalities,pollution,recycle,gender and climate,ocean,manage forest,legal identity,,irregular migration
37,,nutritional needs,indigenous,numeracy skills,parity,sanitation and hygiene,renewable power,migrant workers,resilient infrastructure,inequality,population,recycling,gender and climate change,ocean acidification,manage forests,national security,,kaitiakitanga
38,,nutritious,infected,post primary education,pay,sanitation management,solar,modern slavery,resource use efficiency,migrant remittance,population growth,recycling industry,global mean temperature,ocean temperature,managed forests,non violence,,land locked developing countries
39,,poverty,international health policy,preprimary education,reproductive health,sewerage,solar energy,poverty eradication,roads,migration,public spaces,recycling management,global temperature,oceanography,micro organisms,nonviolence,,least developed countries
40,,produce,international health regulations,primary education,reproductive rights,sewers,solar power,poverty line,sanitation,population growth,public transport,reduce waste,global warming,oceans,microorganisms,organized crime,,leave no one behind
41,,productivity,malaria,qualified teachers,sex discrimination,sustainable water management,sustainable and energy,productive employment,scientific research,poverty,resilient,reduce waste generation,greenhouse gas,overexploitation and fish,permaculture,pacifist,,low impact agriculture
42,,quality of life,maternal mortality,refugees and learning,sexual and reproductive health,sustainable withdrawals,sustainable and power,productivity,society,public policy,resilient buildings,reduction,greenhouse gas emissions,overexploitation in fisheries,plants,paris principles,,low impact farming
43,,resilient agriculture,measles,refugees education,sexual exploitation,third world,sustainable energy,public policy,sustainable industrialisation,quality of life,resource efficiency,renewable,greenhouse gases,overfishing,poaching,peace,,low impact horticulture
44,,rural development,medical,scholarships,sexual health,toilet,sustainable energy resources,quality jobs,sustainable infrastructure,race,resource needs,resource efficiency,hurricanes,productive oceans,poverty,peace monger,,migrant rights
45,,rural infrastructure,mental health,school,sexual violence,toilets,sustainable energy services,quality of life,technological capabilities,race and discriminate,risk reduction strategy,responsible production chains,ice loss,protected areas,protected fauna,peaceful,,migration and policy
46,,small scale food producers,mortality,school enrolment,social inclusion,untreated wastewater,sustainable power,resource efficiency,technology,race discrimination,road safety,retail,low carbon economy,sea grasses,protected flora,peaceful societies,,migration policy
47,,soil pollution,mortality rate,school training,trafficking,urban,vehicles,safe work,trade,racial discrimination,safe cities,retail industry,methane emissions,seas,protected species,peacemaker,,policy coherence
48,,stunted growth,narcotic drug abuse,secondary education,universal health coverage,waste,wave,secure work,transborder infrastructure,racisim,shanty,reuse,natural disasters,sustainable ecosystems,reforestation,peacemonger,,policy governance
49,,stunting,neonatal,teacher training,violence,wastewater,wave energy,slavery,transport,racism,slums,supply chain,natural systems,underwater ecosystem,rewilding,physical abuse,,political migration
50,,sufficient food,neonatal mortality,teaching refugees,violence against girls,wastewater treatment,wave power,social policies,value chains,reduce inequalities,smart cities,sustainable,nitrogen oxide emissions,unregulated fishing,soil,police,,promotion of shared responsibilities
51,,sustainable,polio,universal education,violence against women,water,wind,society,value chains and markets,religion,solid waste,sustainable consumption,ocean warming,unsustainable fishing,soil degradation,prevent violence,,recycling
52,,sustainable agriculture,premature birth,vocational training,violence and girls,water access,wind energy,stable employment,water infrastructure,rural,suburban,sustainable management,paris agreement,water resource management,species,prison,,refugee crisis
53,,sustainable food production,premature mortality,vulnerable,violence and women,water disasters,wind power,stable jobs,water resources,sex,sustainable,sustainable practices,pollution,water resources and policy,strategic plan for biodiversity,prisons,,refugee rights
54,,trade diversity,preventable deaths,women's rights,women,water ecosystems,wind turbine,sustainable consumption,,sex and inequality,sustainable and city,sustainable production,renewable,,sub species,psychological abuse,,renewable
55,,trade restrictions,reducing malaria,,women empowerment,water efficiency,wood,sustainable economic growth,,sex inequality,sustainable and communities,sustainable public procurement,rising sea,,subspecies,public policy,,resilient
56,,under nourished,reducing mortality,,women in work,water harvesting,,sustainable production,,sexism,sustainable building,sustainable resource use,rising sea level,,sustainable land management,quality of life,,reuse technologies
57,,undernourished,refugees and health services,,women's empowerment,water quality,,sustainable tourism,,sexual inequality,sustainable buildings,sustainable supply chain,sea level rise,,sustainable land use,representative decision making,,risk governance
58,,wasting,reproductive health,,women's rights,water recycling,,trade,,social protection,sustainable cities,sustainable tourism,temperature,,terrestrial ecosystems,rule of law,,small island developing states
59,,wasting and food,reproductive health care,,workplace equality,water related ecosystems,,unemployment,,society,sustainable city,vehicles,warming,,threatened species,security threats,,smart cities
60,,wasting food,reproductive healthcare,,,water resources,,well paid jobs,,vulnerable nations,sustainable communities,waste,,,tree,sexual abuse,,smart grid
61,,world’s hungry,road traffic accidents,,,water resources management,,women migrants,,world trade,sustainable urbanisation,wasted food,,,tree species,sexual violence,,smart houses
62,,,sexual and reproductive health care,,,water reuse,,work,,,tourism,wasteful consumption,,,wetland conservation,stolen assets,,social protection policies
63,,,sexual and reproductive healthcare,,,water scarcity,,work opportunities,,,town planning,water,,,wetlands,strong institutions,,social responsibility
64,,,sexual health,,,water supply,,world trade,,,transport,water pollution,,,wildlife,tax evasion,,soil pollution
65,,,sexual health care,,,water use efficiency,,youth employment,,,transport systems,water supply,,,,theft,,sustainability
66,,,sexual healthcare,,,,,youth unemployment,,,urban,,,,,torture,,sustainable
67,,,soil contamination,,,,,,,,urban development,,,,,trafficking,,sustainable development
68,,,soil pollution,,,,,,,,urban planning,,,,,transparency,,sustainable development goals
69,,,substance abuse,,,,,,,,urban sustainability,,,,,un sentenced detainees,,sustainable development indicators
70,,,tobacco control,,,,,,,,urbanisation,,,,,unsentenced detainees,,sustainable management
71,,,treatment of substance abuse,,,,,,,,waste,,,,,unstable societies,,sustainable public transport
72,,,tuberculosis,,,,,,,,waste generation,,,,,victims of violence,,sustainable societies
73,,,universal health,,,,,,,,waste management,,,,,violence,,sustainable transport
74,,,universal health coverage,,,,,,,,water,,,,,violence against children,,technology for sustainable development
75,,,vaccination,,,,,,,,water related disasters,,,,,violence against women,,technology reuse
76,,,vaccines,,,,,,,,,,,,,violence against women and children,,tele working
77,,,vaccines in developing countries,,,,,,,,,,,,,violence rates,,teleworking
78,,,violence,,,,,,,,,,,,,weapon,,transboundary cooperation
79,,,wash,,,,,,,,,,,,,weapon seizures,,water energy food nexus
80,,,water borne disease,,,,,,,,,,,,,,,water pollution
81,,,water sanitation and hygiene for all,,,,,,,,,,,,,,,water sensitive revitalisation
82,,,waterborne disease,,,,,,,,,,,,,,,well being
83,,,well being,,,,,,,,,,,,,,,wellbeing
84,,,wellbeing,,,,,,,,,,,,,,,
85,,,world health organisation,,,,,,,,,,,,,,,
