SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 14,SDG 15,SDG 16,SDG 17,Misc
Quality of Life,Improved nutrition,Health,Gender sensitive,Governance and gender,Inadequate water supply,Energy technology,Global trade,Knowledge in education for all,Foreign aid,Impact of cities,Global food waste,Climate resilience,Fishing practices,Forests,Geography of poverty,International support for developing countries,Forced displacement
Resources,Innovations and health,Health in resource constrained settings,Global citizenship,Human rights,Infrastructure,Fossil fuel,Gross domestic product growth,Mobile networks in developing countries,Foreign investment,Inadequate housing,Greenhouse gasses,CO2 capture,Global warming,Genetic resources,Governance,Knowledge sharing,Good governance
Social protection,Legumes,Health worker density,Global education,Human trafficking,Irrigation,Green economy,Human trafficking,National Security,Gender,Informal settlements,Harvest losses,CO2 conversion,Illegal fishing,Illegal wildlife products,Hate crime,Multi stakeholder partnerships,Governance
Social protection systems,Maize,Healthy,Inclusion and education,Humanitarian,Lakes,Greenhouse gas,Inclusive economic growth,Network infrastructure,Global financial markets,Infrastructure,Life cycle,COP 21,Kelp,Illicit trafficking,Human rights,Poverty eradication,Governance and policy
Sustainable,Malnourished,Healthy lives,Inclusive,Marginalised,Latrines,Greenhouse gas emissions,Innovation,Phone service,Health,Land,Market distortions,COP 22,Law of the Sea,Indigenous,Human trafficking,Public private partnerships,Governance and risk
Third World,Malnutrition,Hepatitis,Innovation,Parity,Open defecation,Hydroelectric,Insurance,Public policy,Homelessness,Land consumption,Materialism,Ecosystems,Marine,Indigenous populations,Illegal arms,Science cooperation agreements,Human rights
Vulnerable,Nutrition,HIV,International cooperation,Pay,Pollution,Low carbon,Job creation,Quality of life,Homophobia,local materials,Materials goods,Emissions,Marine areas,Invasive alien species,Illicit financial flows,Technology cooperation agreements,Human well being
Wealth distribution,Nutritional needs,Improving mortality,Learning opportunities,Reproductive rights,Recycled water,Modern electricity,Jobs,Regional infrastructure,Human rights,mitigation,Monitoring sustainable development,Extreme weather,Marine biodiversity,Land conservation,Inclusion,Technology transfer,Inclusive
,Nutritious,Increasing life expectancy,Lifelong learning,Sexual and reproductive health,Reuse,Modern energy,Labour market,Research,Inclusion,Natural disasters,Natural resources,Extreme weather events,Marine ecosystems,Land degradation,Inclusive institutions,Weighted tariff average,Indigenous knowledge
,Poverty,Indigenous,Literacy,Sexual exploitation,River basins,Reliable energy,Labour rights,Resilient infrastructure,Income growth,Natural heritage,Obsolescence,Global mean temperature,Marine fisheries,Land loss,Inclusive societies,Women entrepreneurs,Inter generational
,Produce,Infected,Literacy skills,Sexual violence,Rivers,Renewable,Micro finance,Resource use efficiency,Income inequality,Over crowding,Overconsumption,Global temperature,Marine Parks,Land use and sustainability,Inclusive society,World Trade Organization,Irregular migration
,Productivity,International health policy,Numeracy,Social inclusion,Safe drinking water,Renewable energy,Migrant workers,Roads,Indigenous,Pollution,Production,Global warming,Marine pollution,Manage forests,Institutions,,Kaitiakitanga
,Quality of life,International health regulations,Preprimary education,Trafficking,Sanitation,Renewable power,Modern slavery,Sanitation,Inequalities,Population,Recycle,Greenhouse gas,Marine resources,Managed forests,Internally displaced,,Land locked developing countries
,Resilient agriculture,Malaria,Primary education,Universal health coverage,Sanitation and hygiene,Solar,Poverty eradication,Scientific research,Inequality,Population growth,Recycling,Greenhouse gas emissions,Ocean,Micro organisms,Judiciary,,Least developed countries
,Rural infrastructure,Maternal mortality,Qualified teachers,Violence,Sanitation management,Solar energy,Poverty line,Society,Migrant remittance,Public spaces,Reduce waste generation,Greenhouse gases,Ocean acidification,Permaculture,Justice,,Leave no one behind
,Small scale food producers,Measles,Refugees and learning,Violence against girls,Sewerage,Solar power,Productive employment,Sustainable industrialisation,Migration,Public transport,Reduction,Ice loss,Ocean temperature,Plants,Justice for all,,Low impact agriculture
,Stunted growth,Medical,Scholarships,Violence against women,Sustainable water management,Sustainable energy,Productivity,Sustainable infrastructure,Population growth,Resilient,Renewable,Low carbon economy,Oceanography,Poaching,Legal identity,,Low impact farming
,Stunting,Mental health,School,Women,Sustainable withdrawals,Sustainable energy services,Public policy,Technological capabilities,Poverty,Resilient buildings,Resource efficiency,Natural disasters,Oceans,Poverty,National Security,,Low impact horticulture
,Sufficient food,Mortality,School enrolment,Women empowerment,Third world,Sustainable power,Quality jobs,Technology,Public policy,Resource efficiency,Responsible production chains,Natural systems,Overfishing,Protected fauna,Non violence,,Migrant rights
,Sustainable,Mortality rate,Secondary education,Women in work,Toilets,Vehicles,Quality of life,Trade,Quality of life,Resource needs,Retail,Ocean warming,Productive oceans,Protected flora,Organized crime,,Migration and policy
,Sustainable agriculture,Narcotic drug abuse,Teacher training,Women's rights,Untreated wastewater,Wave,Resource efficiency,Transborder infrastructure,Race,Risk reduction strategy,Retail industry,Paris Agreement,Protected areas,Protected species,Paris principles,,Policy coherence
,Sustainable food production,Neonatal mortality,Universal education,Workplace equality,Urban,Wind,Safe work,Transport,Racisim,Road safety,Reuse,Pollution,Sea grasses,Reforestation,Peace,,Promotion of shared responsibilities
,Trade diversity,Polio,Vocational training,,Waste,Wind power,Secure work,Value chains,Reduce inequalities,Safe cities,Sustainable,Renewable,Seas,Soil,Peaceful societies,,Recycling
,Trade restrictions,Premature mortality,Vulnerable,,Wastewater,Wind turbine,Slavery,Value chains and markets,Religion,Shanty,Sustainable consumption,Rising sea,Sustainable ecosystems,Soil degradation,Physical abuse,,Refugee crisis
,Under nourished,Preventable deaths,Women's rights,,Wastewater treatment,Wood,Social policies,Water infrastructure,Rural,Slums,Sustainable management,Rising sea level,Unregulated fishing,Species,Police,,Refugee rights
,Undernourished,Reducing malaria,,,Water,,Society,Water resources,Sex,Smart cities,Sustainable practices,Sea level rise,Water resources and policy,Strategic plan for biodiversity,Prevent violence,,Renewable
,Wasting,Reducing mortality,,,Water access,,Stable employment,,Sexism,Solid waste,Sustainable production,Temperature,,Terrestrial ecosystems,Psychological abuse,,Resilient
,World’s hungry,Refugees and health services,,,Water disasters,,Stable jobs,,Social protection,Suburban,Sustainable public procurement,Warming,,Threatened species,Public policy,,Reuse technologies
,,Reproductive health,,,Water ecosystems,,Sustainable consumption,,Society,Sustainable,Sustainable resource use,,,Tree,Quality of life,,Small island developing states
,,Road traffic accidents,,,Water efficiency,,Sustainable economic growth,,Vulnerable nations,Sustainable building,Sustainable supply chain,,,Tree species,Representative decision making,,Smart cities
,,Sexual and reproductive health care,,,Water harvesting,,Sustainable production,,World trade,Sustainable cities,Sustainable tourism,,,Wetlands,Rule of law,,Smart grid
,,Sexual health,,,Water quality,,Sustainable tourism,,,Sustainable city,Vehicles,,,,Security threats,,Smart houses
,,Soil contamination,,,Water related ecosystems,,Trade,,,Sustainable communities,Waste,,,,Sexual abuse,,Social protection policies
,,Soil pollution,,,Water resources management,,Unemployment,,,Sustainable urbanisation,Wasteful consumption,,,,Sexual violence,,Social responsibility
,,Tobacco control,,,Water scarcity,,Well paid jobs,,,Town planning,Water,,,,Stolen assets,,Soil pollution
,,Treatment of substance abuse,,,Water supply,,Women migrants,,,Transport,Water pollution,,,,Tax evasion,,Sustainability
,,Tuberculosis,,,Water use efficiency,,Work,,,Transport systems,Water supply,,,,Theft,,Sustainable
,,Universal health,,,,,Work opportunities,,,Urban,,,,,Torture,,Sustainable development
,,Universal health coverage,,,,,World trade,,,Urban development,,,,,Trafficking,,Sustainable Development Goals
,,Vaccines,,,,,Youth employment,,,Urban planning,,,,,Transparency,,Sustainable development indicators
,,Vaccines in developing countries,,,,,Youth unemployment,,,Urban sustainability,,,,,Un sentenced detainees,,Sustainable management
,,Violence,,,,,,,,Urbanisation,,,,,Unstable societies,,Sustainable public transport
,,WASH,,,,,,,,Waste,,,,,Victims of violence,,Sustainable societies
,,Water borne disease,,,,,,,,Waste generation,,,,,Violence,,Sustainable transport
,,Water sanitation and hygiene for all,,,,,,,,Waste management,,,,,Violence against women and children,,Technology for sustainable development
,,Well being,,,,,,,,Water,,,,,Violence rates,,Tele working
,,Wellbeing,,,,,,,,Water related disasters,,,,,Weapon seizures,,Transboundary cooperation
,,World health organisation,,,,,,,,,,,,,,,Water energy food nexus
,,,,,,,,,,,,,,,,,Water pollution
,,,,,,,,,,,,,,,,,Water sensitive revitalisation
,,,,,,,,,,,,,,,,,Well being
