squared hinge loss,,Message authentication code,,Source code,Path Planning,,Metabolic Diseases,,
stochastic gradient descent,,Multi factor authentication,,Source code management,Pathfinding,,Microbial Barrier,,
structural risk minimization,,National Cybersecurity Strategy,,Source control,PLC,,Molecular Diagnostics,,
supervised learning,,National Security Agency,,SQL,Program robot,,Mutagenesis,,
supervised machine learning,,Network security,,SVN,Programmable Logical Controller,,Neurology,,
Support Vector Machines,,NSA,,Symbolic execution,Rehabilitation Robotics,,Nonrenal Clearance,,
SVM,,Password protection,,Systems analyst,Revolute Joint,,Nucleic Acid,,
Tensor Processing Unit,,Password Weakness,,Systems developer,Robot,,Obstetrics,,
TensorBoard,,pen testing,,Systems specification,Robot controller,,Oncology,,
TensorFlow,,Phishing,,Test driven development,Robot Coordinate System,,Partial agonist ,,
TensorFlow Serving,,Piggyback programs,,UML,Robot dynamics,,Peripheral Neuropathy,,
test set,,Plaintext,,Unified Modeling Language,Robot Integrator,,Pharma,,
TPU,,Plaintext attack,,Unit testing,Robot joint,,Pharma Resources,,
Training set,,Privacy,,Version control,Robot kinematics,,Pharmaceutical Development,,
transfer learning,,Private data,,Visitor pattern,Robot motion planning,,Pharmaceutical Research,,
true negative,,Private key infrastructure,,Waterfall model,Robot programming,,Pharmaceuticals,,
true positive,,Public key infrastructure,,,Robot Programming Language,,Pharmaceutics,,
underfitting,,ransomware,,,,,Pharmacodynamics,,
unsupervised learning,,ReCAPTCHA,,,,,Pharmacogenetics,,
unsupervised machine learning,,Rootkit,,,,,Pharmacokinetics,,
validation set,,Routing security,,,,,Pharmacological,,
vanishing gradient problem,,Scareware,,,,,Pharmacology,,
Wasserstein loss,,Secure channel,,,,,Pharmacovigilance,,
,,Secure Sockets layer,,,,,Potency,,
,,Secure Sockets Layer certificate,,,,,Preclinical Studies,,
,,Secure system,,,,,Protein,,
,,Security engineering,,,,,Proteomics,,
,,Security policy,,,,,Radiology,,
,,Security token,,,,,Rheumatology,,
,,Session security,,,,,Therapeutics,,
,,Social engineering,,,,,Toxicology,,
,,Software security,,,,,Vaccination,,
,,Software Vulnerability,,,,,Vaccine,,
,,spear phishing ,,,,,White Blood Cell,,
,,Spoofing,,,,,Yeast Artificial Chromosome,,
,,spyware,,,,,Zoonosis,,
,,SQL Injection,,,,,,,
,,SSL certificate,,,,,,,
,,Symmetric encryption,,,,,,,
,,TLS,,,,,,,
,,TOR,,,,,,,
,,Transport layer security,,,,,,,
,,Trojan,,,,,,,
,,Trojan horse,,,,,,,
,,two factor authentication,,,,,,,
,,Unenciphered message,,,,,,,
,,Virtual Private Network,,,,,,,
,,Virtual Warfare,,,,,,,
,,access control,,,,,,,
,,Admin privilege,,,,,,,
,,Antivirus,,,,,,,
,,Antivirus software,,,,,,,
